add-s,4,10000,80000,31248786,390,0
add-s,8,10000,160000,110988964,693,0
add-s,12,10000,240000,238258882,992,0
add-none,2,100,400,148660,371,0
add-none,2,1000,4000,141084,35,195
add-none,2,10000,40000,634316,15,18446744073709549384
add-none,2,100000,400000,4673556,11,18446744073709540397
add-none,4,100,800,171907,214,0
add-none,4,1000,8000,225210,28,576
add-none,4,10000,80000,1164599,14,18446744073709546379
add-none,4,100000,800000,10079737,12,18446744073709516969
add-none,8,100,1600,281832,176,0
add-none,8,1000,16000,338995,21,652
add-none,8,10000,160000,2509101,15,18446744073709544507
add-none,8,100000,1600000,22856173,14,18446744073709490285
add-none,12,100,2400,390846,162,0
add-none,12,1000,24000,443470,18,1172
add-none,12,10000,240000,3885744,16,18446744073709541212
add-none,12,100000,2400000,35602604,14,18446744073709443003
add-yield-none,2,10,40,164329,4108,10
add-yield-none,4,10,80,172699,2158,8
add-yield-none,8,10,160,315328,1970,1
add-yield-none,12,10,240,394868,1645,1
add-yield-none,2,20,80,162644,2033,0
add-yield-none,4,20,160,223241,1395,14
add-yield-none,8,20,320,313178,978,56
add-yield-none,12,20,480,391349,815,121
add-yield-none,2,40,160,184829,1155,6
add-yield-none,4,40,320,205080,640,32
add-yield-none,8,40,640,319943,499,7
add-yield-none,12,40,960,449910,468,191
add-yield-none,2,80,320,248946,777,0
add-yield-none,4,80,640,263552,411,58
add-yield-none,8,80,1280,395595,309,120
add-yield-none,12,80,1920,506341,263,174
add-yield-none,2,100,400,269345,673,10
add-yield-none,4,100,800,320278,400,58
add-yield-none,8,100,1600,415878,259,66
add-yield-none,12,100,2400,514289,214,182
add-yield-none,2,1000,4000,1501620,375,3
add-yield-none,4,1000,8000,1547499,193,42
add-yield-none,8,1000,16000,2058552,128,122
add-yield-none,12,1000,24000,2286631,95,191
add-yield-none,2,10000,40000,13408365,335,3
add-yield-none,4,10000,80000,14130419,176,57
add-yield-none,8,10000,160000,18671754,116,113
add-yield-none,12,10000,240000,20109234,83,18446744073709551141
add-yield-none,2,100000,400000,139843448,349,18446744073709550799
add-yield-none,4,100000,800000,136363109,170,373
add-yield-none,8,100000,1600000,164697447,102,18446744073709544768
add-yield-none,12,100000,2400000,190024197,79,18446744073709547404
add-none,2,100,400,146400,366,0
add-none,2,1000,4000,181513,45,18446744073709551459
add-none,2,10000,40000,617964,15,18446744073709549465
