list-none-none,1,10,1,30,97207,3240
list-none-none,1,100,1,300,99107,330
list-none-none,1,1000,1,3000,184122,61
list-none-none,1,10000,1,30000,622536,20
list-none-none,1,20000,1,60000,1190736,19
list-none-none,2,1,1,6,91022,15170
list-none-none,2,10,1,60,76083,1268
list-none-none,2,100,1,600,148061,246
list-none-none,4,1,1,12,107225,8935
list-none-none,4,100,1,1200,109854,91
list-none-none,8,1,1,24,223334,9305
list-none-none,8,10,1,240,201447,839
list-none-none,12,1,1,36,345479,9596
list-i-none,2,1,1,6,72402,12067
list-i-none,2,8,1,48,149187,3108
list-i-none,2,16,1,96,129566,1349
list-i-none,4,1,1,12,161119,13426
list-i-none,4,2,1,24,111463,4644
list-i-none,4,8,1,96,138429,1441
list-i-none,8,1,1,24,237833,9909
list-i-none,8,2,1,48,247286,5151
list-d-none,2,1,1,6,143930,23988
list-d-none,2,4,1,24,116208,4842
list-d-none,2,16,1,96,164483,1713
list-d-none,4,2,1,24,158024,6584
list-d-none,4,4,1,48,143137,2982
list-d-none,8,1,1,24,237830,9909
list-d-none,12,1,1,36,302178,8393
list-il-none,2,4,1,24,179288,7470
list-il-none,2,8,1,48,152844,3184
list-il-none,2,16,1,96,165421,1723
list-il-none,2,32,1,192,958578,4992
list-il-none,4,1,1,12,143037,11919
list-il-none,8,1,1,24,216129,9005
list-il-none,8,2,1,48,207929,4331
list-il-none,12,1,1,36,308642,8573
list-dl-none,2,1,1,6,161847,26974
list-dl-none,2,2,1,12,99634,8302
list-dl-none,2,4,1,24,152586,6357
list-dl-none,2,16,1,96,129381,1347
list-dl-none,2,32,1,192,149218,777
list-dl-none,4,1,1,12,147131,12260
list-dl-none,8,2,1,48,208204,4337
list-i-m,12,32,1,1152,1200731,1042
list-d-m,12,32,1,1152,1350924,1172
list-il-m,12,32,1,1152,2094258,1817
list-dl-m,12,32,1,1152,3212071,2788
list-i-s,12,32,1,1152,1179941,1024
list-d-s,12,32,1,1152,1301387,1129
list-il-s,12,32,1,1152,1671282,1450
list-dl-s,12,32,1,1152,2390854,2075
list-none-none,1,1000,1,3000,118687,39
list-none-m,1,1000,1,3000,175405,58
list-none-m,2,1000,1,6000,1379266,229
list-none-m,4,1000,1,12000,2615388,217
list-none-m,8,1000,1,24000,9415905,392
list-none-m,12,1000,1,36000,16669335,463
list-none-m,16,1000,1,48000,21453743,446
list-none-m,24,1000,1,72000,33107266,459
list-none-s,1,1000,1,3000,152372,50
list-none-s,2,1000,1,6000,505800,84
list-none-s,4,1000,1,12000,3709895,309
list-none-s,8,1000,1,24000,12044290,501
list-none-s,12,1000,1,36000,23495579,652
list-none-s,16,1000,1,48000,35944418,748
list-none-s,24,1000,1,72000,48890975,679
list-none-none,1,10,1,30,85793,2859
list-none-none,1,100,1,300,66628,222
list-none-none,1,1000,1,3000,136670,45
list-none-none,1,10000,1,30000,650942,21
list-none-none,1,20000,1,60000,1209482,20
list-none-none,2,1,1,6,72615,12102
list-none-none,2,10,1,60,80834,1347
list-none-none,4,1,1,12,132232,11019
list-none-none,4,10,1,120,141348,1177
list-none-none,12,1,1,36,311863,8662
list-none-none,12,10,1,360,303075,841
list-none-none,12,100,1,3600,318540,88
list-i-none,2,1,1,6,81912,13652
list-i-none,2,2,1,12,83074,6922
list-i-none,2,4,1,24,84728,3530
list-i-none,2,8,1,48,75492,1572
list-i-none,4,1,1,12,1253924,104493
list-i-none,4,2,1,24,123843,5160
list-i-none,4,4,1,48,117752,2453
list-i-none,4,8,1,96,126344,1316
list-i-none,8,1,1,24,219599,9149
list-i-none,8,2,1,48,230633,4804
list-i-none,8,4,1,96,213612,2225
list-i-none,12,8,1,288,295064,1024
list-d-none,4,1,1,12,138014,11501
list-d-none,4,2,1,24,125361,5223
list-il-none,2,1,1,6,88359,14726
list-il-none,2,4,1,24,69173,2882
list-il-none,2,16,1,96,112079,1167
list-il-none,2,32,1,192,140821,733
list-il-none,4,1,1,12,110051,9170
list-il-none,4,2,1,24,136478,5686
list-il-none,4,8,1,96,133986,1395
list-il-none,8,1,1,24,219997,9166
list-il-none,8,2,1,48,226727,4723
list-il-none,8,4,1,96,217714,2267
list-dl-none,2,1,1,6,83237,13872
list-dl-none,2,2,1,12,87566,7297
list-dl-none,2,4,1,24,91371,3807
list-dl-none,8,1,1,24,208857,8702
list-dl-none,12,1,1,36,302643,8406
list-i-m,12,32,1,1152,1204781,1045
list-d-m,12,32,1,1152,1515896,1315
list-il-m,12,32,1,1152,1977485,1716
list-dl-m,12,32,1,1152,2951651,2562
list-i-s,12,32,1,1152,994738,863
list-d-s,12,32,1,1152,1487385,1291
list-il-s,12,32,1,1152,4457448,3869
list-dl-s,12,32,1,1152,2703388,2346
list-none-none,1,1000,1,3000,137173,45
list-none-m,1,1000,1,3000,142274,47
list-none-m,2,1000,1,6000,1614694,269
list-none-m,4,1000,1,12000,2750506,229
list-none-m,8,1000,1,24000,10079680,419
list-none-m,12,1000,1,36000,15750584,437
list-none-m,16,1000,1,48000,21661179,451
list-none-m,24,1000,1,72000,34127277,473
list-none-s,1,1000,1,3000,131976,43
list-none-s,2,1000,1,6000,459315,76
list-none-s,4,1000,1,12000,3127195,260
list-none-s,8,1000,1,24000,10553998,439
list-none-s,12,1000,1,36000,17558117,487
list-none-s,16,1000,1,48000,27319385,569
list-none-s,24,1000,1,72000,57048216,792
